,Tap #,Name ,AVG,6/1/26- 6/7/26,5/25/26- 5/31/26,5/18/26- 5/24/26,5/11/26- 5/17/26,5/4/26- 5/10/26,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25
,68,JACKED UP STRAWBERRY LEMONADE (JACK DANIELS) 1,0.11,0.08,0.08,0.14,0.09,0.08,0.15,0.11,0.15,0.08,0.1,0.13,0.08,0.06,0.1,0.13,0.16,0.12,0.12,0.07,0.12,0,0.24,0.13,0.14,0.2,0.12,,0.2,0.1,0.12,0.15,0.18,0.13,0.14,0.04
,7,Jameson Irish (Whiskey) 3,12.65,7.5,0,9,45,11.5,11.6,8.5,14.5,11,23,12,5.5,16.5,1.5,,,,,,,,,,,,,,,,,,,,,
,18,Jim Beam (Whiskey) 3,5.44,10.5,0,4,2,3.5,0,8.5,3.5,6,1.5,0,8,3.5,6,6,18,1.5,0,11,10.5,1.5,4.5,4.5,9,1.5,16.5,,5.1,7.9,11.25,10.5,4.5,6,0,3.53
,84,Jose Cuervo Gold (Tequila) 2,2.81,1.5,0,5.5,4.5,0,0,0,1.5,2,6.5,2,1.5,0,0,4,5.5,3,8.5,1.5,6,0,6,4.5,0,3,6,,4.2,3.4,2.25,7.5,7.5,0,0,4
,85,Jose Cuervo Silver (Tequila) 2,9.82,1.5,7.5,1.5,3.5,4,0,6,1.5,5,4,4.5,1.5,15,48.5,6,4,31.1,30,24.59,9,10.54,4.5,18,3,1.5,9,,4.5,7.9,8.25,15,3,0,0,7.01
,5,Jose Cuervo Silver (Tequila) 3,10.24,0,3.5,11.5,14.1,4.6,8.5,12.5,1.5,13.5,3,4.5,20,3,26,14,10,6.01,9.5,13.5,15,27.09,13.5,9,12,1.5,9,,13.5,7.9,14.25,12,19.5,15,7.5,2
,29,KONA BIG WAVE 1,0.41,0.43,0.37,0.56,0.36,0.28,0.47,0.34,0.26,0.31,0.31,0.38,0.23,0.5,0.58,0.41,0.33,0.48,0.42,0.36,0.69,0.49,0.54,0.45,0.35,0.49,0.33,,0.5,0.4,0.18,0.84,0.65,0.39,0.17,0.2
,60,LEMON DROP MARTINI (ABSOLUT CITRON) 1,0.16,0.1,0.13,0.17,0.12,0.1,0.15,0.19,0.11,0.23,0.1,0.09,0.23,0.22,0.11,0.22,0.26,0.18,0.18,0.21,0.16,0.12,0.18,0.06,,,,,0.1,0.1,,0.18,0.17,0.09,0.08,0.05
,21,MICHELOB ULTRA 1,1.54,0.83,0.88,1.94,1.15,0.85,1.37,1.19,1.31,1.24,1.19,1.52,1.27,1.98,1.49,1.91,1.55,1.71,1.8,1.72,2.31,1.91,2.85,1.33,1.68,1.36,1.8,,2,1.5,1.01,2.8,1.89,1.26,1.28,0.71
,73,MICHELOB ULTRA 2,0.32,0.24,0.2,0.48,0.2,0.08,0.28,0.33,0.16,0.35,0.24,0.21,0.2,0.49,0.38,0.39,0.16,0.5,0.23,0.38,0.41,0.28,0.66,0.35,0.46,0.37,0.29,,0.5,0.4,0.2,0.56,0.48,0.37,0.33,0.17
