,Tap #,"In Gotab product mix, select date range Mon-Sun. Filter alphabetically, type oz of shot taps into G column. Type oz from beer and cocktails into D column. Copy E column and paste special values only into G",,"Weekly 
Usage",AVG,4/27/26- 5/3/26,4/20/26- 4/26/26,4/13/26- 4/19/26,4/6/26- 4/12/26,3/30/26- 4/5/26,3/23/26- 3/29/26,3/16/26- 3/22/26,3/9/26- 3/15/26,3/2/26- 3/8/26,2/23/26- 3/1/26,2/16/26- 2/22/26,2/9/26-   2/15/26,2/2/26- 2/8/26,"01/26/26
-02/01/26","01/12/25
-01/18/25","1/5/26
-1/11/26",12/29/25 -1/4/26,"11/25/25-
12/01/25","11/18/25
11/24/25",11/11/25-11/17/25,"11/4/25
11/10/25",E,"Dec 
2025
AVG","Nov 2025
AVG","08/25/25-
11/2/25",12/22/25-12/28/25,12/15/25-12/21/25,12/8/25- 12/14/25,12/1/25 -12/7/25,01/19/25-01/25/25,,,,,,,,,,,
 ,70,JACK & LEMONADE (JACK DANIEL'S)  1,118,0.09,0.06,0.09,0.05,0.08,0.11,0.05,0.03,0.04,0.08,0.03,0.07,0.08,0.06,0.09,0.07,0.05,0.05,0.05,0.06,0.05,0.00,0.00,,0.1,0.0,,0.08,0.06,0.03,0.08,0.05,,,,,,,,,,,
,89,Jack Daniel's (Whiskey) 2,1.5,,9.70,1.50,13.60,14.00,7.50,15.00,1.50,6.00,9.00,3.00,23.50,5.00,19.50,10.50,8.02,6.00,4.50,21.00,6.0,15.0,4.50,9.0,,8.4,8.6,10.50,9.00,3.00,4.50,4.50,9.53,,,,,,,,,,,
,19,Jack Daniel's (Whiskey) 3,13,,20.40,13.00,15.60,6.50,8.50,42.50,10.50,39.00,27.00,10.00,31.00,20.50,31.10,26.00,21.00,30.00,25.70,21.00,6.0,15.0,25.50,3.0,,19.4,12.4,17.25,31.00,13.50,18.00,13.50,15.08,,,,,,,,,,,
,20,Jack Daniel's Fire (Whiskey) 3,14,,8.86,14.00,2.00,12.00,8.00,1.50,1.50,15.50,11.00,8.00,8.00,10.00,15.60,10.50,7.50,4.50,4.50,13.00,9.0,16.5,6.00,7.5,,5.6,9.8,7.50,6.00,0.00,4.50,4.50,3.03,,,,,,,,,,,
,68,JACKED UP STRAWBERRY LEMONADE (JACK DANIELS) 1,211,0.15,0.12,0.15,0.11,0.15,0.08,0.10,0.13,0.08,0.06,0.10,0.13,0.16,0.12,0.12,0.07,0.12,0.00,0.24,0.13,0.14,0.20,0.12,,0.2,0.1,0.12,0.15,0.18,0.13,0.14,0.04,,,,,,,,,,,
,7,Jameson (Whiskey) 3,11.60,,11.57,11.60,8.50,14.50,11.00,23.00,12.00,5.50,16.50,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,Jim Beam (Whiskey) 3,0,,5.79,0.00,8.50,3.50,6.00,1.50,0.00,8.00,3.50,6.00,6.00,18.00,1.50,0.00,11.00,10.50,1.50,4.50,4.5,9.0,1.50,16.5,,5.1,7.9,11.25,10.50,4.50,6.00,0.00,3.53,,,,,,,,,,,
,84,Jose Cuervo Gold (Tequila) 2,0,,2.93,0.00,0.00,1.50,2.00,6.50,2.00,1.50,0.00,0.00,4.00,5.50,3.00,8.50,1.50,6.00,0.00,6.00,4.5,0.0,3.00,6.0,,4.2,3.4,2.25,7.50,7.50,0.00,0.00,4.00,,,,,,,,,,,
,85,Jose Cuervo Silver (Tequila) 2,0.00,,11.30,0.00,6.00,1.50,5.00,4.00,4.50,1.50,15.00,48.50,6.00,4.00,31.10,30.00,24.59,9.00,10.54,4.50,18.0,3.0,1.50,9.0,,4.5,7.9,8.25,15.00,3.00,0.00,0.00,7.01,,,,,,,,,,,
,5,Jose Cuervo Silver (Tequila) 3,8.50,,11.08,8.50,12.50,1.50,13.50,3.00,4.50,20.00,3.00,26.00,14.00,10.00,6.01,9.50,13.50,15.00,27.09,13.50,9.0,12.0,1.50,9.0,,13.5,7.9,14.25,12.00,19.50,15.00,7.50,2.00,,,,,,,,,,, 
,29,KONA BIG WAVE 1,940,0.47,0.42,0.47,0.34,0.26,0.31,0.31,0.38,0.23,0.50,0.58,0.41,0.33,0.48,0.42,0.36,0.69,0.49,0.54,0.45,0.35,0.49,0.33,,0.5,0.4,0.18,0.84,0.65,0.39,0.17,0.20,,,,,,,,,,,
,60,LEMON DROP MARTINI (TITO'S) 1,222,0.15,0.17,0.15,0.19,0.11,0.23,0.10,0.09,0.23,0.22,0.11,0.22,0.26,0.18,0.18,0.21,0.16,0.12,0.18,0.06,,,,,0.1,0.1,,0.18,0.17,0.09,0.08,0.05,,,,,,,,,,, 
,21,MICHELOB ULTRA 1,2726,1.37,1.64,1.37,1.19,1.31,1.24,1.19,1.52,1.27,1.98,1.49,1.91,1.55,1.71,1.80,1.72,2.31,1.91,2.85,1.33,1.68,1.36,1.80,,2.0,1.5,1.01,2.80,1.89,1.26,1.28,0.71,,,,,,,,,,,
,73,MICHELOB ULTRA 2,557,0.28,0.34,0.28,0.33,0.16,0.35,0.24,0.21,0.20,0.49,0.38,0.39,0.16,0.50,0.23,0.38,0.41,0.28,0.66,0.35,0.46,0.37,0.29,,0.5,0.4,0.20,0.56,0.48,0.37,0.33,0.17,,,,,,,,,,,
,22,MILLER LIGHT 1,1774,0.89,0.91,0.89,0.51,0.74,0.87,0.64,0.75,0.68,1.00,1.17,1.23,1.22,0.82,1.09,1.08,1.15,0.61,1.55,0.64,0.90,0.62,0.82,,1.1,0.7,0.54,1.21,1.00,0.96,0.97,0.56,,,,,,,,,,,
,75,MILLER LIGHT 2,196,0.10,0.19,0.10,0.13,0.10,0.14,0.08,0.13,0.15,0.17,0.22,0.20,0.17,0.19,0.30,0.23,0.47,0.11,0.29,0.23,0.17,0.09,0.30,,0.3,0.2,0.12,0.23,0.42,0.32,0.26,0.14,,,,,,,,,,,
,40,MODELO 1,639,0.32,0.50,0.32,0.42,0.38,0.49,0.38,0.45,0.38,0.68,0.15,0.61,0.81,0.52,0.77,0.17,0.77,0.12,0.87,0.50,0.58,0.47,0.55,,0.7,0.5,0.26,0.83,0.90,0.47,0.46,0.16,,,,,,,,,,,
,80,MODELO 2,420,0.21,0.10,0.21,0.11,0.05,0.15,0.12,0.06,0.08,0.27,0.15,0.10,0.12,0.06,0.04,0.04,0.10,0.03,0.10,0.11,0.05,0.09,0.14,,0.2,0.1,0.04,0.72,0.31,0.08,0.03,0.12,,,,,,,,,,,
,69,OLD FASHIONED (BULLEIT) 1,236,0.17,0.20,0.17,0.19,0.17,0.23,0.17,0.21,0.15,0.21,0.20,0.22,0.21,0.22,0.20,0.15,0.29,0.19,0.29,0.19,0.21,0.24,0.19,,0.3,0.2,0.21,0.33,0.43,0.31,0.32,0.08,,,,,,,,,,,
,100,OLD FASHIONED (BULLEIT) 2,53,0.04,0.04,0.04,0.05,0.03,0.05,0.03,0.02,0.05,0.06,0.04,0.06,0.04,0.05,0.05,0.02,0.04,0.04,0.05,0.04,0.07,0.02,0.05,,0.0,0.0,0.02,0.03,0.08,0.05,0.04,0.01,,,,,,,,,,,
,24,PABST BLUE RIBBON 1,444,0.22,0.37,0.22,0.16,0.26,0.28,0.22,0.21,0.17,0.44,0.33,0.47,0.33,0.31,0.45,0.00,0.72,0.52,1.07,0.29,0.45,0.32,0.51,,0.7,0.4,0.19,0.84,0.67,0.35,0.50,0.09,,,,,,,,,,,
,78,PABST BLUE RIBBON 2,133.00,0.07,0.08,0.07,0.06,0.02,0.11,0.05,0.09,0.06,0.17,0.14,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,Patron (Tequila) 2 ,7.00,,13.20,7.00,13.00,6.50,29.00,20.50,10.50,6.00,12.00,13.50,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,Patron Silver (Tequila) 3,41.0,,42.65,41.00,34.50,29.00,38.50,28.50,29.50,23.50,34.00,82.00,25.50,71.50,49.00,68.00,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,
,51,PEACH MARGARITA (JOSE CUERVO) 1,288,0.19,0.11,0.19,0.07,0.10,0.09,0.12,0.13,0.10,0.10,0.12,0.10,0.11,0.11,0.12,0.12,0.12,0.09,0.12,0.09,0.10,0.15,0.11,,0.1,0.1,0.09,0.13,0.12,0.06,0.04,0.06,,,,,,,,,,,
,91,Pink Whitney (Vodka) 2,3.0,,7.08,3.00,18.00,1.50,8.00,4.50,6.00,8.00,9.50,5.00,7.00,7.00,8.00,6.50,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,
,6,Pink Whitney (Vodka) 3,17.00,,12.67,17.00,7.00,5.00,9.50,4.50,9.00,13.50,16.50,26.00,7.50,10.00,12.50,9.50,18.53,24.00,,,,,,,,1.8,1.9,5.3,1.50,0.00,6.00,0.00,0.00,,,,,,,,,,,
,61,POMEGRANATE MARTINI (TITO'S) 1,209,0.14,0.12,0.14,0.09,0.06,0.11,0.09,0.15,0.13,0.12,0.12,0.15,0.14,0.10,0.11,0.15,0.13,0.00,0.18,0.11,,,,,0.1,0.1,,0.19,0.12,0.11,0.10,0.07,,,,,,,,,,,
,52,RASPBERRY MARGARITA (JOSE CUERVO) 1,236,0.15,0.20,0.15,0.16,0.13,0.18,0.17,0.12,0.20,0.24,0.22,0.27,0.17,0.20,0.33,0.19,0.25,0.16,0.29,0.14,0.17,0.25,0.17,,0.2,0.2,0.18,0.22,0.23,0.20,0.19,0.15,,,,,,,,,,,
,93,RASPBERRY MARGARITA (JOSE CUERVO) 2,128,0.08,0.08,0.08,0.07,0.04,0.07,0.08,0.08,0.05,0.12,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Skrewball Peanut Butter (Whiskey) 3,22.60,,18.31,22.60,0.00,4.50,5.00,62.00,36.00,16.00,26.50,6.00,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,SPIKED ARNOLD PALMER (TITO'S) 1,223,0.15,0.15,0.15,0.18,0.16,0.12,0.14,0.12,0.13,0.16,0.17,0.21,0.16,0.13,0.14,0.14,0.16,0.07,0.20,0.13,0.16,0.14,0.21,,0.2,0.2,0.14,0.19,0.17,0.18,0.08,0.04,,,,,,,,,,,
,53,SPIKED CRANBERRY LEMONADE (TITO'S) 1,274,0.20,0.15,0.20,0.06,0.12,0.19,0.08,0.15,0.09,0.12,0.17,0.13,0.09,0.11,0.12,0.10,0.16,0.11,0.27,0.15,0.23,0.23,0.26,,0.2,0.2,0.20,0.18,0.20,0.16,0.13,0.08,,,,,,,,,,,
